Population Size, CrossOver Rate, Mutation Rate, Tournament Size, Best Fitness, Elitism
3000, 0.07, 0.001, 5, 0.4, 19698
3500, 0.55, 0.01, 5, 0.4, 19822
2500, 0.06, 0.001, 5, 0.2, 19819
3000, 0.06, 0.02, 5, 0.2, 19261
2500, 0.55, 0.001, 2, 0.6, 17887
2500, 0.06, 0.01, 10, 0.4, 19020
2500, 0.06, 0.015, 5, 0.4, 18457
3500, 0.06, 0.001, 2, 0.4, 18477
3000, 0.07, 0.001, 2, 0.4, 19814
3000, 0.5, 0.001, 2, 0.0, 21177
3500, 0.55, 0.01, 2, 0.6, 19949
2500, 0.07, 0.001, 2, 0.4, 20530
3000, 0.07, 0.02, 5, 0.4, 20489
3500, 0.55, 0.001, 5, 0.6, 20853
2500, 0.06, 0.015, 5, 0.0, 20287
2500, 0.55, 0.01, 5, 0.0, 20236
2500, 0.5, 0.01, 5, 0.4, 19394
3000, 0.06, 0.02, 5, 0.0, 19886
3000, 0.5, 0.001, 2, 0.4, 21020
2500, 0.5, 0.015, 10, 0.2, 19457
2500, 0.06, 0.02, 5, 0.0, 17667
3500, 0.07, 0.015, 10, 0.2, 18261
2500, 0.06, 0.01, 5, 0.6, 18967
3000, 0.07, 0.01, 5, 0.4, 20016
2500, 0.06, 0.01, 10, 0.0, 19322
3000, 0.07, 0.02, 5, 0.0, 20943
3500, 0.07, 0.001, 10, 0.2, 20323
3000, 0.07, 0.015, 5, 0.2, 18213
2500, 0.06, 0.02, 10, 0.0, 20776
3500, 0.55, 0.005, 2, 0.6, 16989
3000, 0.07, 0.015, 10, 0.2, 19824
2500, 0.07, 0.02, 5, 0.2, 19428
2500, 0.06, 0.001, 10, 0.0, 19901
3000, 0.06, 0.005, 10, 0.2, 19062
2500, 0.65, 0.01, 5, 0.0, 21471
3500, 0.06, 0.01, 10, 0.2, 17498
3000, 0.55, 0.01, 5, 0.4, 21218
3500, 0.55, 0.015, 10, 0.0, 18984
3000, 0.07, 0.015, 5, 0.0, 19943
2500, 0.07, 0.015, 10, 0.0, 19407
3500, 0.55, 0.01, 10, 0.6, 20711
2500, 0.07, 0.01, 2, 0.0, 20339
3500, 0.06, 0.01, 2, 0.0, 19423
